,short_name,league_name,player_positions,overall
944,Rubén Duarte,Spain Primera Division,LB,77
659,Rubén García,Spain Primera Division,"LM, ST, CAM",79
486,Rubén Peña,Spain Primera Division,"RB, LB",80
1957,Rubén Sobrino,Spain Primera Division,"ST, RM",75
8804,Rubén Yáñez,Spain Primera Division,GK,66
542,Rui Silva,Spain Primera Division,GK,79
2566,Róber,Spain Primera Division,"CB, CDM",73
938,Rúben Vezo,Spain Primera Division,"CB, RB",77
15030,S. Abdulai,Spain Primera Division,"CDM, CM, CB",60
352,S. Arias,Spain Primera Division,RB,81
8942,S. Chakla,Spain Primera Division,CB,66
913,S. Chukwueze,Spain Primera Division,RM,77
1884,S. Corchia,Spain Primera Division,RB,75
6669,S. Gassama,Spain Primera Division,ST,68
3554,S. Okazaki,Spain Primera Division,ST,72
310,S. Savić,Spain Primera Division,CB,81
156,S. Umtiti,Spain Primera Division,CB,83
483,S. Vrsaljko,Spain Primera Division,RB,80
1657,S. Weissman,Spain Primera Division,ST,75
15662,Salinas,Spain Primera Division,LB,59
2477,Salvi Sánchez,Spain Primera Division,"RM, LM",74
9820,Samu Pérez,Spain Primera Division,GK,65
8600,San Román,Spain Primera Division,GK,66
3087,Sancet,Spain Primera Division,"CAM, CM",72
1256,Santi Mina,Spain Primera Division,"ST, RW",76
3953,Saúl,Spain Primera Division,LB,71
112,Saúl,Spain Primera Division,"CM, LM, LB",84
1105,Sergi Enrich,Spain Primera Division,ST,77
1159,Sergi Guardiola,Spain Primera Division,ST,77
997,Sergi Gómez,Spain Primera Division,CB,77
197,Sergi Roberto,Spain Primera Division,"RB, CM",83
2272,Sergio,Spain Primera Division,GK,74
245,Sergio Asenjo,Spain Primera Division,GK,82
42,Sergio Busquets,Spain Primera Division,CDM,87
13350,Sergio Carrasco,Spain Primera Division,CM,62
6345,Sergio Gómez,Spain Primera Division,"RM, LM",68
12248,Sergio Gónzalez,Spain Primera Division,"CB, CDM",63
1305,Sergio Herrera,Spain Primera Division,GK,76
2366,Sergio León,Spain Primera Division,ST,74
7338,Sergio López,Spain Primera Division,RB,67
14,Sergio Ramos,Spain Primera Division,CB,89
1732,Sergio Álvarez,Spain Primera Division,"CDM, CB, CM",75
616,Sidnei,Spain Primera Division,CB,79
3184,Sivera,Spain Primera Division,GK,72
1348,Soldado,Spain Primera Division,ST,76
4063,Son,Spain Primera Division,RB,71
350,Suso,Spain Primera Division,"RW, CAM",81
12,T. Courtois,Spain Primera Division,GK,89
853,T. Inui,Spain Primera Division,"LM, RM",78
24,T. Kroos,Spain Primera Division,CM,88
1498,T. Kubo,Spain Primera Division,"RM, CM, CAM",75
288,T. Lemar,Spain Primera Division,"LM, CAM, RM",81
117,T. Partey,Spain Primera Division,CM,84
263,T. Vaclík,Spain Primera Division,GK,82
12056,Tachi,Spain Primera Division,CB,63
5496,Tete Morente,Spain Primera Division,"LM, RM",69
3210,Thierry Correia,Spain Primera Division,"RB, LB",72
3595,Timor,Spain Primera Division,"CM, CDM, CB",72
1430,Tomás Pina,Spain Primera Division,"CM, CDM",76
2529,Toni Lato,Spain Primera Division,LB,73
993,Toni Villa,Spain Primera Division,"LM, CAM",77
1451,Toño García,Spain Primera Division,"LB, LM",76
683,Trincão,Spain Primera Division,"RW, LW, CAM",78
1508,U. Račić,Spain Primera Division,CM,75
14991,Unai,Spain Primera Division,ST,60
12268,Unai Etxebarría,Spain Primera Division,GK,63
4862,Unai García,Spain Primera Division,CB,70
955,Unai López,Spain Primera Division,"CM, CDM",77
719,Unai Núñez,Spain Primera Division,CB,78
377,Unai Simón,Spain Primera Division,GK,80
9604,Unai Vencedor,Spain Primera Division,CM,65
2224,Vadillo,Spain Primera Division,"RM, LM",74
9581,Valera,Spain Primera Division,"RM, LM, CAM",65
15104,Valera,Spain Primera Division,GK,60
1216,Vallejo,Spain Primera Division,CB,76
1723,Vesga,Spain Primera Division,CM,75
3887,Villalibre,Spain Primera Division,ST,71
366,Vinícius Jr.,Spain Primera Division,LW,80
646,Vitolo,Spain Primera Division,LM,79
810,Víctor Díaz,Spain Primera Division,RB,78
12177,Víctor López,Spain Primera Division,RM,63
2419,Víctor Rodríguez,Spain Primera Division,"LM, RM, CAM",74
1098,Víctor Ruiz,Spain Primera Division,CB,77
6580,W. Kaptoum,Spain Primera Division,"CM, CDM",68
1700,Waldo,Spain Primera Division,LM,75
484,William Carvalho,Spain Primera Division,"CDM, CM",80
472,Willian José,Spain Primera Division,ST,80
2364,Ximo Navarro,Spain Primera Division,"RB, CB",74
4719,Y. Bodiger,Spain Primera Division,"CDM, CM",70
1326,Y. Bounou,Spain Primera Division,GK,76
265,Y. Carrasco,Spain Primera Division,LM,82
731,Y. En-Nesyri,Spain Primera Division,ST,78
2533,Y. Eteki,Spain Primera Division,"CDM, CM",73
10994,Y. Fekir,Spain Primera Division,"LW, RW, CAM",64
1532,Y. Herrera,Spain Primera Division,"CM, CDM",75
10739,Y. Musah,Spain Primera Division,"RM, CM",64
3735,Y. Mutō,Spain Primera Division,ST,72
410,Yeray,Spain Primera Division,CB,80
1850,Yoel,Spain Primera Division,GK,75
182,Yuri Berchiche,Spain Primera Division,LB,83
14922,Zabarte,Spain Primera Division,"CB, RB",60
668,Zaldúa,Spain Primera Division,RB,79
15079,Zarco,Spain Primera Division,GK,60
9715,Zarraga,Spain Primera Division,"CM, CAM, RW",65
534,Zubeldia,Spain Primera Division,"CDM, CM, CB",79
7520,Zubiaurre,Spain Primera Division,GK,67
12030,Zubimendi,Spain Primera Division,CM,63
7366,Álex Blanco,Spain Primera Division,"LM, RM",67
2060,Álex Centelles,Spain Primera Division,LB,74
2217,Álex Fernández,Spain Primera Division,"CAM, CDM",74
2390,Álex Martínez,Spain Primera Division,LB,74
1017,Álex Moreno,Spain Primera Division,"LB, LWB, LM",77
396,Álex Remiro,Spain Primera Division,GK,80
5577,Álex Sola,Spain Primera Division,"LM, LB, RB",69
6384,Álvaro,Spain Primera Division,GK,68
5073,Álvaro Giménez,Spain Primera Division,ST,70
2092,Álvaro Tejero,Spain Primera Division,RB,74
609,Ángel,Spain Primera Division,ST,79
372,Éder Militão,Spain Primera Division,"CB, RB",80
936,Óliver Torres,Spain Primera Division,"CM, LW",77
1507,Óscar,Spain Primera Division,"CAM, CM, RM",75
1458,Óscar Plano,Spain Primera Division,"RM, LM, ST",76
