,short_name,league_name,player_positions,overall
862,Sergio,Spain Primera Division,GK,78
129,Sergio Asenjo,Spain Primera Division,GK,84
13815,Sergio Benito,Spain Primera Division,ST,61
39,Sergio Busquets,Spain Primera Division,"CDM, CM",88
1084,Sergio García,Spain Primera Division,ST,77
692,Sergio León,Spain Primera Division,"ST, RM",79
10846,Sergio López,Spain Primera Division,RB,64
15722,Sergio Moreno,Spain Primera Division,ST,58
5,Sergio Ramos,Spain Primera Division,CB,91
2961,Sergio Sánchez,Spain Primera Division,"CB, RB",73
14677,Sergio Tienza,Spain Primera Division,GK,60
1351,Sergio Álvarez,Spain Primera Division,"CDM, CM",76
599,Sidnei,Spain Primera Division,CB,79
12986,Sillero,Spain Primera Division,"RB, CB",62
12299,Sito,Spain Primera Division,LM,63
4828,Sivera,Spain Primera Division,GK,70
6652,Soriano,Spain Primera Division,GK,68
524,Susaeta,Spain Primera Division,"RW, LW",80
14041,Sánchez,Spain Primera Division,LM,61
10,T. Courtois,Spain Primera Division,GK,90
1259,T. Hernández,Spain Primera Division,"LB, LWB",76
541,T. Inui,Spain Primera Division,LM,80
13,T. Kroos,Spain Primera Division,"CM, CDM",90
162,T. Lemar,Spain Primera Division,"LM, CAM",83
223,T. Partey,Spain Primera Division,"CDM, CM, RM, RB",82
821,T. Vaclík,Spain Primera Division,GK,78
1107,T. Vermaelen,Spain Primera Division,"CB, LB",77
11883,Tachi,Spain Primera Division,CB,63
11085,Tarín,Spain Primera Division,"CB, RB",64
1404,Timor,Spain Primera Division,"CDM, CM, CB",76
3578,Tito,Spain Primera Division,"RB, LB, RWB",72
1557,Tomás Pina,Spain Primera Division,"CM, CDM",76
13762,Toni Moya,Spain Primera Division,"CM, CAM",61
4765,Toni Villa,Spain Primera Division,"CAM, LM, RM",70
2061,Toño García,Spain Primera Division,LB,75
1630,U. Račić,Spain Primera Division,"CDM, CM",75
1683,Unai López,Spain Primera Division,"CM, LM, RM, CDM",75
1651,Unai Núñez,Spain Primera Division,CB,75
6553,Unai Simón,Spain Primera Division,GK,68
719,Vallejo,Spain Primera Division,CB,78
4333,Verza,Spain Primera Division,"CDM, CM",71
3319,Vesga,Spain Primera Division,"CDM, CM",72
1190,Victor Sánchez,Spain Primera Division,"RB, CDM, CM",77
3307,Vigaray,Spain Primera Division,"RB, RWB",72
6587,Villalibre,Spain Primera Division,ST,68
953,Vinícius Júnior,Spain Primera Division,"LW, RW",77
401,Vitolo,Spain Primera Division,"LM, RM",81
16824,Víctor Gómez,Spain Primera Division,LB,55
256,Víctor Ruiz,Spain Primera Division,CB,82
400,W. Ben Yedder,Spain Primera Division,"ST, CAM, LM",81
8743,W. Kaptoum,Spain Primera Division,"CM, CDM",66
15173,William Camargo,Spain Primera Division,ST,59
128,William Carvalho,Spain Primera Division,"CDM, CM",84
323,Williams,Spain Primera Division,"ST, RW",81
177,Willian José,Spain Primera Division,ST,83
11058,Xesc Regis,Spain Primera Division,"ST, RM, LM",64
2503,Ximo Navarro,Spain Primera Division,CB,74
16205,Y. Andzouana,Spain Primera Division,LM,57
1029,Y. Bounou,Spain Primera Division,GK,77
3316,Y. En-Nesyri,Spain Primera Division,"ST, LW",72
6622,Y. Eteki,Spain Primera Division,"CDM, CM, CB",68
993,Yeray,Spain Primera Division,CB,77
1167,Yoel,Spain Primera Division,GK,77
1158,Yuri Berchiche,Spain Primera Division,LB,77
542,Z. Feddal,Spain Primera Division,CB,80
2278,Zaldúa,Spain Primera Division,RB,74
2669,Zubeldia,Spain Primera Division,"CM, CDM",73
7752,Zubiaurre,Spain Primera Division,GK,67
10896,Álex Centelles,Spain Primera Division,LB,64
11942,Álex Domínguez,Spain Primera Division,GK,63
13820,Álex Dos Santos,Spain Primera Division,GK,61
4274,Álex Gallar,Spain Primera Division,"RM, LM, ST",71
2215,Álex Moreno,Spain Primera Division,LB,74
13982,Álex Mozo,Spain Primera Division,"CM, CAM",61
992,Álex Remiro,Spain Primera Division,GK,77
2331,Álvaro,Spain Primera Division,"ST, LM",74
623,Álvaro,Spain Primera Division,CB,79
2169,Álvaro Jiménez,Spain Primera Division,"RM, LM",74
510,Ángel,Spain Primera Division,ST,80
13969,Ángel López,Spain Primera Division,"LM, RM, CM",61
6565,Óscar,Spain Primera Division,"CAM, CM",68
6592,Óscar Pinchi,Spain Primera Division,"LM, ST",68
3117,Óscar Plano,Spain Primera Division,"LM, RM",73
