,short_name,league_name,player_positions,overall
2258,S. Prcić,Spain Primera Division,"CM, CDM",74
263,S. Savić,Spain Primera Division,CB,82
59,S. Umtiti,Spain Primera Division,CB,86
554,S. Vrsaljko,Spain Primera Division,RB,80
2609,Sabin Merino,Spain Primera Division,"LW, ST",74
6826,Salva Ruíz,Spain Primera Division,LB,68
1907,Salva Sevilla,Spain Primera Division,"CM, LM, CAM",75
10142,Samu Pérez,Spain Primera Division,GK,65
5682,Sancet,Spain Primera Division,"CM, CAM",69
1693,Sandro,Spain Primera Division,"ST, LM, LW",75
291,Santi Cazorla,Spain Primera Division,"CM, CDM, LM",82
433,Santi Mina,Spain Primera Division,ST,80
3384,Saúl,Spain Primera Division,LB,72
80,Saúl,Spain Primera Division,"CM, LM, RM",85
440,Sergi Darder,Spain Primera Division,"CM, CDM",80
542,Sergi Enrich,Spain Primera Division,ST,80
1246,Sergi Guardiola,Spain Primera Division,ST,77
469,Sergi Gómez,Spain Primera Division,CB,80
275,Sergi Roberto,Spain Primera Division,"RB, RM, CM",82
1913,Sergio,Spain Primera Division,GK,75
269,Sergio Asenjo,Spain Primera Division,GK,82
21,Sergio Busquets,Spain Primera Division,"CDM, CM",89
9964,Sergio Camello,Spain Primera Division,ST,65
3617,Sergio Herrera,Spain Primera Division,GK,72
1213,Sergio León,Spain Primera Division,"ST, RM",77
12364,Sergio Lozano,Spain Primera Division,CM,63
8814,Sergio López,Spain Primera Division,RB,66
18,Sergio Ramos,Spain Primera Division,CB,89
1103,Sergio Rico,Spain Primera Division,GK,77
1782,Sergio Álvarez,Spain Primera Division,"CDM, CM",75
6227,Señé,Spain Primera Division,"CAM, CM, LM",69
522,Sidnei,Spain Primera Division,CB,80
12415,Sillero,Spain Primera Division,"RB, CB",63
13680,Sito,Spain Primera Division,LM,62
2723,Sivera,Spain Primera Division,GK,73
1439,Soldado,Spain Primera Division,ST,76
5812,Soriano,Spain Primera Division,GK,69
28,T. Courtois,Spain Primera Division,GK,88
731,T. Inui,Spain Primera Division,"LM, RM",79
36,T. Kroos,Spain Primera Division,CM,88
4768,T. Kubo,Spain Primera Division,"RM, CF",70
176,T. Lemar,Spain Primera Division,"LM, CAM, RM",83
259,T. Partey,Spain Primera Division,"CM, CDM, RM",82
366,T. Vaclík,Spain Primera Division,GK,81
11145,Tachi,Spain Primera Division,CB,64
1212,Tomás Pina,Spain Primera Division,"CM, CDM",77
11170,Toni Moya,Spain Primera Division,"CM, CB",64
1322,Toni Villa,Spain Primera Division,"LM, CAM",76
1573,Toño García,Spain Primera Division,"LB, LM",76
4996,Unai García,Spain Primera Division,CB,70
2215,Unai López,Spain Primera Division,"CM, LM, CDM",74
1315,Unai Núñez,Spain Primera Division,CB,76
2665,Unai Simón,Spain Primera Division,GK,73
12281,Unai Vencedor,Spain Primera Division,CM,63
14770,V. De Baunbag,Spain Primera Division,"ST, RW",60
4838,V. Kravets,Spain Primera Division,LB,70
2256,Vadillo,Spain Primera Division,"RM, LM",74
2834,Vesga,Spain Primera Division,CM,73
7816,Victor Campuzano,Spain Primera Division,"ST, RW",67
1196,Victor Sánchez,Spain Primera Division,"CM, CDM, RB",77
4910,Villalibre,Spain Primera Division,ST,70
569,Vinícius Jr.,Spain Primera Division,LW,79
724,Vitolo,Spain Primera Division,"LM, RM",79
8860,Víctor,Spain Primera Division,"RM, ST",66
3063,Víctor Díaz,Spain Primera Division,"RB, CB",73
12354,Víctor Gómez,Spain Primera Division,RB,63
11233,Víctor López,Spain Primera Division,RM,64
4854,W. Kaptoum,Spain Primera Division,"CM, CDM",70
2224,Waldo,Spain Primera Division,"LM, ST",74
189,William Carvalho,Spain Primera Division,"CDM, CM",83
274,Willian José,Spain Primera Division,ST,82
665,Wu Lei,Spain Primera Division,"ST, LM, LW",79
2036,Ximo Navarro,Spain Primera Division,"CB, RB",75
7246,Xisco Campos,Spain Primera Division,"CB, RB",68
1327,Y. En-Nesyri,Spain Primera Division,ST,76
5746,Y. Eteki,Spain Primera Division,"CDM, CM",69
11384,Y. Fekir,Spain Primera Division,"LW, RW, CAM",64
6721,Y. Herrera,Spain Primera Division,"CM, CDM, RB",68
6795,Y. Yeboah,Spain Primera Division,"RM, RW",68
449,Yeray,Spain Primera Division,CB,80
2465,Yoel,Spain Primera Division,GK,74
693,Yuri Berchiche,Spain Primera Division,LB,79
967,Z. Feddal,Spain Primera Division,CB,78
11246,Z. Thior,Spain Primera Division,RW,64
1872,Zaldúa,Spain Primera Division,RB,75
1311,Zubeldia,Spain Primera Division,"CDM, CM, CB",76
7947,Zubiaurre,Spain Primera Division,GK,67
16753,Zubimendi,Spain Primera Division,CM,57
12636,Àlex Corredera,Spain Primera Division,RM,63
9996,Álex Collado,Spain Primera Division,"CM, LW",65
12351,Álex Domínguez,Spain Primera Division,GK,63
14185,Álex Dos Santos,Spain Primera Division,GK,61
9990,Álex Martín,Spain Primera Division,CB,65
3185,Álex Martínez,Spain Primera Division,LB,73
1289,Álex Remiro,Spain Primera Division,GK,76
2687,Álvaro Tejero,Spain Primera Division,RB,73
685,Ángel,Spain Primera Division,ST,79
13487,Ángel López,Spain Primera Division,"LM, RM",62
333,Éder Militão,Spain Primera Division,"CB, RB",81
784,Óliver Torres,Spain Primera Division,CM,78
2671,Óscar,Spain Primera Division,"CAM, CM",73
2076,Óscar Plano,Spain Primera Division,"RM, LM, CF",75
